year,lon_mme,lat_mme,lon_sst,lat_sst,dist,Ecoregion,count_MHW,duration,icum,e_days,sum_anom,Monitoring series,Damaged qualitative,EvenStart,Location,Damaged percentage,count_MME
2015,9.70608,40.87978,9.6875,40.895843505859375,2.38,Northwestern Mediterranean,12,366,1050,62,223.4855,NA,NA,NA,NA,NA,NA
2015,9.70145,40.88289,9.6875,40.895843505859375,1.86,Northwestern Mediterranean,12,366,1050,62,223.4855,NA,NA,NA,NA,NA,NA
2015,3.3,42.28,3.3124923706054688,42.270851135253906,1.45,Northwestern Mediterranean,15,210,419,43,133.20559999999998,NA,NA,NA,NA,NA,NA
2015,6.15315,43.00185,6.1458282470703125,43.020851135253906,2.2,Northwestern Mediterranean,3,40,133,51,183.65380000000005,NA,NA,NA,NA,NA,NA
2015,6.20583,42.9822,6.187496185302734,42.97918701171875,1.53,Northwestern Mediterranean,3,39,128,50,187.61399999999998,NA,NA,NA,NA,NA,NA
2015,6.26015,42.99754,6.2708282470703125,42.97918701171875,2.22,Northwestern Mediterranean,2,33,113,48,190.9656,NA,NA,NA,NA,NA,NA
2015,6.40333,42.9925,6.3958282470703125,42.97918701171875,1.6,Northwestern Mediterranean,8,140,471,48,194.25649999999996,NA,NA,NA,NA,NA,NA
2015,6.39611,42.98694,6.3958282470703125,42.97918701171875,0.86,Northwestern Mediterranean,8,140,471,48,194.25649999999996,NA,NA,NA,NA,NA,NA
2015,6.39423,42.98625,6.3958282470703125,42.97918701171875,0.8,Northwestern Mediterranean,8,140,471,48,194.25649999999996,NA,NA,NA,NA,NA,NA
2015,0.67017,39.85915,0.6874885559082031,39.85417175292969,1.58,Northwestern Mediterranean,9,153,364,62,211.20850000000002,single.survey,No,Autumn,Columbretes Islands,0,6
2015,3.19,42.19,3.1874923706054688,42.18751525878906,0.35,Northwestern Mediterranean,3,30,60,36,121.4394,single.survey,No,Autumn,Cap de Creus,0,6
2015,3.13,42.03,3.1874923706054688,42.104183197021484,9.53,Northwestern Mediterranean,21,182,359,38,120.12039999999999,single.survey,No,Autumn,Medes Islands,0,6
2015,3.29843,42.33015,3.3124923706054688,42.31251525878906,2.28,Northwestern Mediterranean,48,672,1481,48,152.88260000000002,NA,NA,NA,NA,NA,NA
2015,3.22242,42.0492,3.229158401489258,42.06251525878906,1.58,Northwestern Mediterranean,150,1400,2840,42,126.97159999999998,NA,NA,NA,NA,NA,NA
2015,3.22713,42.04156,3.229158401489258,42.02084732055664,2.31,Northwestern Mediterranean,18,192,387,44,123.1374,NA,NA,NA,NA,NA,NA
2015,3.2777,42.25335,3.270824432373047,42.229183197021484,2.75,Northwestern Mediterranean,27,288,553,36,124.9637,NA,NA,NA,NA,NA,NA
2015,3.26129,42.33762,3.270824432373047,42.354183197021484,2,Northwestern Mediterranean,27,396,904,51,161.9273,NA,NA,NA,NA,NA,NA
2015,3.21196,42.05552,3.229158401489258,42.06251525878906,1.62,Northwestern Mediterranean,150,1400,2840,42,126.97159999999998,NA,NA,NA,NA,NA,NA
2015,3.22153,42.05177,3.229158401489258,42.06251525878906,1.35,Northwestern Mediterranean,150,1400,2840,42,126.97159999999998,NA,NA,NA,NA,NA,NA
2015,3.30825,42.29128,3.3124923706054688,42.270851135253906,2.3,Northwestern Mediterranean,15,210,419,43,133.20559999999998,NA,NA,NA,NA,NA,NA
2015,3.22408,42.04455,3.229158401489258,42.06251525878906,2.04,Northwestern Mediterranean,150,1400,2840,42,126.97159999999998,NA,NA,NA,NA,NA,NA
2015,3.20963,42.06593,3.229158401489258,42.06251525878906,1.66,Northwestern Mediterranean,150,1400,2840,42,126.97159999999998,NA,NA,NA,NA,NA,NA
2015,3.22549,42.0422,3.229158401489258,42.06251525878906,2.28,Northwestern Mediterranean,150,1400,2840,42,126.97159999999998,NA,NA,NA,NA,NA,NA
2015,3.32325,42.32263,3.3124923706054688,42.31251525878906,1.43,Northwestern Mediterranean,48,672,1481,48,152.88260000000002,NA,NA,NA,NA,NA,NA
2015,3.30788,42.32503,3.3124923706054688,42.31251525878906,1.44,Northwestern Mediterranean,48,672,1481,48,152.88260000000002,NA,NA,NA,NA,NA,NA
2015,3.26326,42.23739,3.270824432373047,42.229183197021484,1.11,Northwestern Mediterranean,27,288,553,36,124.9637,NA,NA,NA,NA,NA,NA
2015,3.29885,42.3066,3.3124923706054688,42.31251525878906,1.3,Northwestern Mediterranean,48,672,1481,48,152.88260000000002,NA,NA,NA,NA,NA,NA
2015,3.31483,42.32323,3.3124923706054688,42.31251525878906,1.21,Northwestern Mediterranean,48,672,1481,48,152.88260000000002,NA,NA,NA,NA,NA,NA
2015,3.21514,42.3472,3.229158401489258,42.354183197021484,1.39,Northwestern Mediterranean,12,192,442,49,157.03599999999997,NA,NA,NA,NA,NA,NA
2015,3.22678,42.04794,3.229158401489258,42.06251525878906,1.63,Northwestern Mediterranean,150,1400,2840,42,126.97159999999998,NA,NA,NA,NA,NA,NA
2015,3.18606,42.10012,3.1874923706054688,42.104183197021484,0.47,Northwestern Mediterranean,21,182,359,38,120.12039999999999,NA,NA,NA,NA,NA,NA
2015,3.21447,42.0615,3.229158401489258,42.06251525878906,1.22,Northwestern Mediterranean,150,1400,2840,42,126.97159999999998,NA,NA,NA,NA,NA,NA
2015,3.22781,42.04225,3.229158401489258,42.06251525878906,2.26,Northwestern Mediterranean,150,1400,2840,42,126.97159999999998,NA,NA,NA,NA,NA,NA
2015,3.28649,42.33345,3.270824432373047,42.354183197021484,2.64,Northwestern Mediterranean,27,396,904,51,161.9273,NA,NA,NA,NA,NA,NA
2015,3.21923,42.23198,3.229158401489258,42.229183197021484,0.88,Northwestern Mediterranean,12,124,236,37,120.51140000000001,NA,NA,NA,NA,NA,NA
2015,3.22139,42.05159,3.229158401489258,42.06251525878906,1.38,Northwestern Mediterranean,150,1400,2840,42,126.97159999999998,NA,NA,NA,NA,NA,NA
2015,3.33144,42.32035,3.3124923706054688,42.31251525878906,1.79,Northwestern Mediterranean,48,672,1481,48,152.88260000000002,NA,NA,NA,NA,NA,NA
2015,3.21229,42.0667,3.229158401489258,42.06251525878906,1.47,Northwestern Mediterranean,150,1400,2840,42,126.97159999999998,NA,NA,NA,NA,NA,NA
2015,3.26062,42.34082,3.270824432373047,42.354183197021484,1.71,Northwestern Mediterranean,27,396,904,51,161.9273,NA,NA,NA,NA,NA,NA
2015,3.26455,42.23726,3.270824432373047,42.229183197021484,1.04,Northwestern Mediterranean,27,288,553,36,124.9637,NA,NA,NA,NA,NA,NA
2015,3.32496,42.3229,3.3124923706054688,42.31251525878906,1.55,Northwestern Mediterranean,48,672,1481,48,152.88260000000002,NA,NA,NA,NA,NA,NA
2015,3.29924,42.28394,3.3124923706054688,42.270851135253906,1.82,Northwestern Mediterranean,15,210,419,43,133.20559999999998,NA,NA,NA,NA,NA,NA
2015,3.20168,42.08265,3.1874923706054688,42.104183197021484,2.67,Northwestern Mediterranean,21,182,359,38,120.12039999999999,NA,NA,NA,NA,NA,NA
2015,3.21217,42.06743,3.229158401489258,42.06251525878906,1.51,Northwestern Mediterranean,150,1400,2840,42,126.97159999999998,NA,NA,NA,NA,NA,NA
2015,3.22708,42.0448,3.229158401489258,42.06251525878906,1.98,Northwestern Mediterranean,150,1400,2840,42,126.97159999999998,NA,NA,NA,NA,NA,NA
2015,3.22507,42.04921,3.229158401489258,42.06251525878906,1.52,Northwestern Mediterranean,150,1400,2840,42,126.97159999999998,NA,NA,NA,NA,NA,NA
2015,3.22122,42.04927,3.229158401489258,42.06251525878906,1.61,Northwestern Mediterranean,150,1400,2840,42,126.97159999999998,NA,NA,NA,NA,NA,NA
2015,3.22692,42.04138,3.229158401489258,42.02084732055664,2.29,Northwestern Mediterranean,18,192,387,44,123.1374,NA,NA,NA,NA,NA,NA
2015,3.19232,42.09097,3.1874923706054688,42.104183197021484,1.52,Northwestern Mediterranean,21,182,359,38,120.12039999999999,NA,NA,NA,NA,NA,NA
2015,3.28672,42.3329,3.270824432373047,42.354183197021484,2.71,Northwestern Mediterranean,27,396,904,51,161.9273,NA,NA,NA,NA,NA,NA
2015,3.20102,42.08282,3.1874923706054688,42.104183197021484,2.63,Northwestern Mediterranean,21,182,359,38,120.12039999999999,NA,NA,NA,NA,NA,NA
2015,3.26552,42.24035,3.270824432373047,42.229183197021484,1.32,Northwestern Mediterranean,27,288,553,36,124.9637,NA,NA,NA,NA,NA,NA
2015,3.31827,42.31476,3.3124923706054688,42.31251525878906,0.54,Northwestern Mediterranean,48,672,1481,48,152.88260000000002,NA,NA,NA,NA,NA,NA
2015,3.31934,42.3243,3.3124923706054688,42.31251525878906,1.43,Northwestern Mediterranean,48,672,1481,48,152.88260000000002,NA,NA,NA,NA,NA,NA
2015,3.26125,42.34043,3.270824432373047,42.354183197021484,1.72,Northwestern Mediterranean,27,396,904,51,161.9273,NA,NA,NA,NA,NA,NA
2015,3.23812,42.34905,3.229158401489258,42.354183197021484,0.93,Northwestern Mediterranean,12,192,442,49,157.03599999999997,NA,NA,NA,NA,NA,NA
2015,3.31085,42.324,3.3124923706054688,42.31251525878906,1.29,Northwestern Mediterranean,48,672,1481,48,152.88260000000002,NA,NA,NA,NA,NA,NA
2015,3.32258,42.32437,3.3124923706054688,42.31251525878906,1.56,Northwestern Mediterranean,48,672,1481,48,152.88260000000002,NA,NA,NA,NA,NA,NA
2015,3.33187,42.32073,3.3124923706054688,42.31251525878906,1.84,Northwestern Mediterranean,48,672,1481,48,152.88260000000002,NA,NA,NA,NA,NA,NA
2015,3.31717,42.31313,3.3124923706054688,42.31251525878906,0.39,Northwestern Mediterranean,48,672,1481,48,152.88260000000002,NA,NA,NA,NA,NA,NA
2015,3.26458,42.2372,3.270824432373047,42.229183197021484,1.03,Northwestern Mediterranean,27,288,553,36,124.9637,NA,NA,NA,NA,NA,NA
2015,3.23438,42.35064,3.229158401489258,42.354183197021484,0.58,Northwestern Mediterranean,12,192,442,49,157.03599999999997,NA,NA,NA,NA,NA,NA
2015,3.31062,42.29238,3.3124923706054688,42.31251525878906,2.25,Northwestern Mediterranean,48,672,1481,48,152.88260000000002,NA,NA,NA,NA,NA,NA
2015,3.28258,42.25323,3.270824432373047,42.229183197021484,2.85,Northwestern Mediterranean,27,288,553,36,124.9637,NA,NA,NA,NA,NA,NA
2015,3.21933,42.23202,3.229158401489258,42.229183197021484,0.87,Northwestern Mediterranean,12,124,236,37,120.51140000000001,NA,NA,NA,NA,NA,NA
2015,3.22195,42.05155,3.229158401489258,42.06251525878906,1.36,Northwestern Mediterranean,150,1400,2840,42,126.97159999999998,NA,NA,NA,NA,NA,NA
2015,3.22657,42.04795,3.229158401489258,42.06251525878906,1.64,Northwestern Mediterranean,150,1400,2840,42,126.97159999999998,NA,NA,NA,NA,NA,NA
2015,3.22625,42.04757,3.229158401489258,42.06251525878906,1.68,Northwestern Mediterranean,150,1400,2840,42,126.97159999999998,NA,NA,NA,NA,NA,NA
2015,3.22457,42.04635,3.229158401489258,42.06251525878906,1.84,Northwestern Mediterranean,150,1400,2840,42,126.97159999999998,NA,NA,NA,NA,NA,NA
2015,3.22672,42.04405,3.229158401489258,42.06251525878906,2.07,Northwestern Mediterranean,150,1400,2840,42,126.97159999999998,NA,NA,NA,NA,NA,NA
2015,3.2264,42.04388,3.229158401489258,42.06251525878906,2.09,Northwestern Mediterranean,150,1400,2840,42,126.97159999999998,NA,NA,NA,NA,NA,NA
2015,3.21445,42.05972,3.229158401489258,42.06251525878906,1.25,Northwestern Mediterranean,150,1400,2840,42,126.97159999999998,NA,NA,NA,NA,NA,NA
2015,3.21397,42.06157,3.229158401489258,42.06251525878906,1.26,Northwestern Mediterranean,150,1400,2840,42,126.97159999999998,NA,NA,NA,NA,NA,NA
2015,3.2677,42.34103,3.270824432373047,42.354183197021484,1.49,Northwestern Mediterranean,27,396,904,51,161.9273,NA,NA,NA,NA,NA,NA
2015,3.277,42.25223,3.270824432373047,42.229183197021484,2.62,Northwestern Mediterranean,27,288,553,36,124.9637,NA,NA,NA,NA,NA,NA
2015,3.21223,42.0646,3.229158401489258,42.06251525878906,1.42,Northwestern Mediterranean,150,1400,2840,42,126.97159999999998,NA,NA,NA,NA,NA,NA
2015,3.22847,42.04145,3.229158401489258,42.02084732055664,2.29,Northwestern Mediterranean,18,192,387,44,123.1374,NA,NA,NA,NA,NA,NA
2015,3.22647,42.04798,3.229158401489258,42.06251525878906,1.63,Northwestern Mediterranean,150,1400,2840,42,126.97159999999998,NA,NA,NA,NA,NA,NA
2015,3.22175,42.05158,3.229158401489258,42.06251525878906,1.36,Northwestern Mediterranean,150,1400,2840,42,126.97159999999998,NA,NA,NA,NA,NA,NA
2015,3.22445,42.05033,3.229158401489258,42.06251525878906,1.41,Northwestern Mediterranean,150,1400,2840,42,126.97159999999998,NA,NA,NA,NA,NA,NA
2015,3.22567,42.0494,3.229158401489258,42.06251525878906,1.49,Northwestern Mediterranean,150,1400,2840,42,126.97159999999998,NA,NA,NA,NA,NA,NA
2015,3.22698,42.042230000000004,3.229158401489258,42.06251525878906,2.27,Northwestern Mediterranean,150,1400,2840,42,126.97159999999998,NA,NA,NA,NA,NA,NA
2015,3.2262,42.041,3.229158401489258,42.02084732055664,2.26,Northwestern Mediterranean,18,192,387,44,123.1374,NA,NA,NA,NA,NA,NA
2015,3.22631,42.04928,3.229158401489258,42.06251525878906,1.49,Northwestern Mediterranean,150,1400,2840,42,126.97159999999998,NA,NA,NA,NA,NA,NA
2015,3.23925,42.34802,3.229158401489258,42.354183197021484,1.08,Northwestern Mediterranean,12,192,442,49,157.03599999999997,NA,NA,NA,NA,NA,NA
2015,3.22687,42.23585,3.229158401489258,42.229183197021484,0.77,Northwestern Mediterranean,12,124,236,37,120.51140000000001,NA,NA,NA,NA,NA,NA
2015,3.26363,42.2368,3.270824432373047,42.229183197021484,1.03,Northwestern Mediterranean,27,288,553,36,124.9637,NA,NA,NA,NA,NA,NA
2015,3.32405,42.32292,3.3124923706054688,42.31251525878906,1.5,Northwestern Mediterranean,48,672,1481,48,152.88260000000002,NA,NA,NA,NA,NA,NA
2015,3.26023,42.34115,3.270824432373047,42.354183197021484,1.69,Northwestern Mediterranean,27,396,904,51,161.9273,NA,NA,NA,NA,NA,NA
2015,3.31015,42.28973,3.3124923706054688,42.270851135253906,2.11,Northwestern Mediterranean,15,210,419,43,133.20559999999998,NA,NA,NA,NA,NA,NA
2015,3.28598,42.33358,3.270824432373047,42.354183197021484,2.61,Northwestern Mediterranean,27,396,904,51,161.9273,NA,NA,NA,NA,NA,NA
2015,3.2017,42.08293,3.1874923706054688,42.104183197021484,2.64,Northwestern Mediterranean,21,182,359,38,120.12039999999999,NA,NA,NA,NA,NA,NA
2015,3.20868,42.07288,3.229158401489258,42.06251525878906,2.05,Northwestern Mediterranean,150,1400,2840,42,126.97159999999998,NA,NA,NA,NA,NA,NA
2015,3.22403,42.04985,3.229158401489258,42.06251525878906,1.47,Northwestern Mediterranean,150,1400,2840,42,126.97159999999998,NA,NA,NA,NA,NA,NA
2015,3.22535,42.04948,3.229158401489258,42.06251525878906,1.48,Northwestern Mediterranean,150,1400,2840,42,126.97159999999998,NA,NA,NA,NA,NA,NA
2015,3.21288,42.06168,3.229158401489258,42.06251525878906,1.35,Northwestern Mediterranean,150,1400,2840,42,126.97159999999998,NA,NA,NA,NA,NA,NA
2015,3.22223,42.04977,3.229158401489258,42.06251525878906,1.53,Northwestern Mediterranean,150,1400,2840,42,126.97159999999998,NA,NA,NA,NA,NA,NA
2015,3.22728,42.04233,3.229158401489258,42.06251525878906,2.25,Northwestern Mediterranean,150,1400,2840,42,126.97159999999998,NA,NA,NA,NA,NA,NA
2015,3.20197,42.08232,3.1874923706054688,42.104183197021484,2.71,Northwestern Mediterranean,21,182,359,38,120.12039999999999,NA,NA,NA,NA,NA,NA
2015,3.21415,42.04813,3.229158401489258,42.06251525878906,2.03,Northwestern Mediterranean,150,1400,2840,42,126.97159999999998,NA,NA,NA,NA,NA,NA
2015,3.22157,42.05187,3.229158401489258,42.06251525878906,1.34,Northwestern Mediterranean,150,1400,2840,42,126.97159999999998,NA,NA,NA,NA,NA,NA
2015,3.22805,42.04133,3.229158401489258,42.02084732055664,2.28,Northwestern Mediterranean,18,192,387,44,123.1374,NA,NA,NA,NA,NA,NA
2015,3.22653,42.04325,3.229158401489258,42.06251525878906,2.16,Northwestern Mediterranean,150,1400,2840,42,126.97159999999998,NA,NA,NA,NA,NA,NA
2015,3.22083,42.04992,3.229158401489258,42.06251525878906,1.56,Northwestern Mediterranean,150,1400,2840,42,126.97159999999998,NA,NA,NA,NA,NA,NA
2015,3.2252,42.04183,3.229158401489258,42.06251525878906,2.33,Northwestern Mediterranean,150,1400,2840,42,126.97159999999998,NA,NA,NA,NA,NA,NA
2015,3.22468,42.04613,3.229158401489258,42.06251525878906,1.86,Northwestern Mediterranean,150,1400,2840,42,126.97159999999998,NA,NA,NA,NA,NA,NA
2015,3.22658,42.0475,3.229158401489258,42.06251525878906,1.69,Northwestern Mediterranean,150,1400,2840,42,126.97159999999998,NA,NA,NA,NA,NA,NA
2015,3.22613,42.04097,3.229158401489258,42.02084732055664,2.25,Northwestern Mediterranean,18,192,387,44,123.1374,NA,NA,NA,NA,NA,NA
2015,33.6559,34.9188,33.64585876464844,34.89582061767578,2.72,Levantine Sea,5,72,116,87,189.51299999999995,two.per.year.monitoring,No,Spring,Modern shipwreck 1,0,4
2015,33.6559,34.9188,33.64585876464844,34.89582061767578,2.72,Levantine Sea,5,72,116,87,189.51299999999995,two.per.year.monitoring,No,Winter,Modern shipwreck 1,0,8
2015,32.44483,34.72422,32.437522888183594,34.72915267944336,0.87,Levantine Sea,3,40,62,72,138.89069999999998,more.than.two.per.year,No,Summer,Modern shipwreck 3,0,1
2015,33.99785,34.98076,33.97919464111328,34.97915267944336,1.71,Levantine Sea,12,304,453,83,180.3676,more.than.two.per.year,No,Spring,Modern shipwreck 2,0,1
2015,33.99785,34.98076,33.97919464111328,34.97915267944336,1.71,Levantine Sea,12,304,453,83,180.3676,more.than.two.per.year,No,Summer,Modern shipwreck 2,0,1
2015,33.89083,34.95317,33.89585876464844,34.93748474121094,1.81,Levantine Sea,15,243,387,86,189.84160000000003,one.per.year.monitoring,No,Summer,Liopetri,0,1
2015,33.89083,34.95317,33.89585876464844,34.93748474121094,1.81,Levantine Sea,15,243,387,86,189.84160000000003,two.per.year.monitoring,No,Summer,Liopetri,0,2
2015,33.89709,34.95946,33.89585876464844,34.93748474121094,2.45,Levantine Sea,15,243,387,86,189.84160000000003,one.per.year.monitoring,No,Summer,Liopetri-Hatchery,0,1
2015,33.89709,34.95946,33.89585876464844,34.93748474121094,2.45,Levantine Sea,15,243,387,86,189.84160000000003,two.per.year.monitoring,No,Summer,Liopetri-Hatchery,0,2
2015,33.90107,34.96303,33.89585876464844,34.93748474121094,2.88,Levantine Sea,15,243,387,86,189.84160000000003,two.per.year.monitoring,No,Summer,Potamos,0,1
2015,34.07651,34.98584,34.10419464111328,34.97915267944336,2.63,Levantine Sea,15,430,678,90,179.4492,one.per.year.monitoring,No,Summer,Cyclops,0,1
2015,34.07331,34.98509,34.10419464111328,34.97915267944336,2.89,Levantine Sea,15,430,678,90,179.4492,one.per.year.monitoring,No,Summer,Cyclops,0,1
2015,34.07837,34.95845,34.062530517578125,34.93748474121094,2.75,Levantine Sea,8,284,425,80,180.34349999999998,more.than.two.per.year,No,Summer,Cape Greco,0,2
2015,34.07893,34.95732,34.062530517578125,34.93748474121094,2.67,Levantine Sea,8,284,425,80,180.34349999999998,more.than.two.per.year,No,Summer,Cape Greco,0,2
2015,34.08001,34.957,34.062530517578125,34.93748474121094,2.7,Levantine Sea,8,284,425,80,180.34349999999998,more.than.two.per.year,No,Summer,Cape Greco,0,2
2015,33.83196,34.9601,33.812530517578125,34.93748474121094,3.08,Levantine Sea,5,82,131,84,193.6706,NA,NA,NA,NA,NA,NA
2015,33.76951,34.97959,33.77085876464844,34.97915267944336,0.13,Levantine Sea,4,79,125,84,189.02120000000005,NA,NA,NA,NA,NA,NA
2015,33.73542,34.98067,33.72919464111328,34.97915267944336,0.59,Levantine Sea,4,80,126,89,190.06009999999998,NA,NA,NA,NA,NA,NA
2015,33.95677,34.97941,33.97919464111328,34.97915267944336,2.05,Levantine Sea,12,304,453,83,180.3676,NA,NA,NA,NA,NA,NA
2015,34.01553,34.98278,33.97919464111328,34.97915267944336,3.34,Levantine Sea,12,304,453,83,180.3676,NA,NA,NA,NA,NA,NA
2015,34.0536,34.96793,34.062530517578125,34.93748474121094,3.49,Levantine Sea,8,284,425,80,180.34349999999998,NA,NA,NA,NA,NA,NA
