region,year,month,pixels,surface,duration,max_int,mean_int,cum_int,I Moderate,II Strong,III Severe,IV Extreme
Adriatic Sea,1982,juil,3,0.3333333333333333,15,2.0046666666666666,1.93708,29.0562,15,0,0,0
Adriatic Sea,1982,sept,9,1,58,2.1416333333333335,1.8553660956790123,122.1857,58,0,0,0
Adriatic Sea,1982,oct,9,1,77,2.542711111111111,2.1031985377585376,163.9348,70,7,0,0
Adriatic Sea,1982,nov,4,0.4444444444444444,48,1.860975,1.3738111742424244,66.0833,48,0,0,0
Adriatic Sea,1982,déc,8,0.8888888888888888,99,1.58205,1.3421619911297853,135.27960000000002,97,0,0,0
Adriatic Sea,1983,janv,3,0.3333333333333333,19,1.5633666666666666,1.3957371428571428,26.9116,19,0,0,0
Adriatic Sea,1984,déc,1,0.1111111111111111,5,1.4873,1.31174,6.5587,5,0,0,0
Adriatic Sea,1985,oct,2,0.2222222222222222,14,1.8338999999999999,1.602757142857143,22.4386,14,0,0,0
Adriatic Sea,1986,mai,8,0.8888888888888888,64,2.928825,2.5338899305555556,165.9243,64,0,0,0
Adriatic Sea,1986,oct,2,0.2222222222222222,13,1.48515,1.3162035714285714,17.0752,13,0,0,0
Adriatic Sea,1986,déc,1,0.1111111111111111,5,1.3078,1.23172,6.1586,5,0,0,0
Adriatic Sea,1987,sept,9,1,111,2.9702888888888888,2.3448756695156696,260.8059,99,12,0,0
Adriatic Sea,1987,oct,3,0.3333333333333333,5,1.5101333333333333,1.4569333333333332,7.241499999999999,5,0,0,0
Adriatic Sea,1987,nov,1,0.1111111111111111,6,1.182,1.1459166666666667,6.8755,6,0,0,0
Adriatic Sea,1987,déc,1,0.1111111111111111,8,1.5056,1.3056875000000001,10.445500000000001,8,0,0,0
Adriatic Sea,1988,janv,4,0.4444444444444444,19,1.270675,1.160438392857143,21.777700000000003,19,0,0,0
Adriatic Sea,1988,févr,5,0.5555555555555556,73,1.4757,1.1486985077422578,86.1871,70,3,0,0
Adriatic Sea,1990,févr,3,0.3333333333333333,17,1.3396,1.0975104761904761,18.776200000000003,17,0,0,0
Adriatic Sea,1990,mars,4,0.4444444444444444,35,1.984225,1.7579872222222224,64.2521,35,0,0,0
Adriatic Sea,1990,mai,1,0.1111111111111111,5,2.1641,2.09432,10.4716,5,0,0,0
Adriatic Sea,1992,août,9,1,122,2.8835666666666664,2.210685698765137,270.5921,118,4,0,0
Adriatic Sea,1992,sept,3,0.3333333333333333,3,1.8966666666666667,1.8966666666666667,5.6899999999999995,3,0,0,0
Adriatic Sea,1992,oct,4,0.4444444444444444,14,1.761775,1.5656124999999999,22.1483,14,0,0,0
Adriatic Sea,1992,nov,6,0.6666666666666666,119,1.7228833333333333,1.3758358095238095,168.9691,115,0,0,0
Adriatic Sea,1993,mai,2,0.2222222222222222,16,2.73775,2.375497619047619,38.1519,16,0,0,0
Adriatic Sea,1994,mars,5,0.5555555555555556,53,1.9891999999999999,1.6594381818181818,87.1045,53,0,0,0
Adriatic Sea,1994,avril,2,0.2222222222222222,4,0.98715,0.98515,3.9406,4,0,0,0
Adriatic Sea,1994,juil,3,0.3333333333333333,18,2.678366666666667,2.5029,45.0522,18,0,0,0
Adriatic Sea,1994,août,8,0.8888888888888888,86,2.5161125,2.1002866878434068,178.6282,86,0,0,0
Adriatic Sea,1994,sept,5,0.5555555555555556,65,2.5815200000000003,2.197797492063492,143.2939,59,0,0,0
Adriatic Sea,1995,août,1,0.1111111111111111,5,2.047,1.8658000000000001,9.329,5,0,0,0
Adriatic Sea,1996,juin,7,0.7777777777777777,43,3.7342,3.15211156462585,134.3767,43,0,0,0
Adriatic Sea,1997,mars,3,0.3333333333333333,29,2.0191,1.7711949494949495,51.2013,29,0,0,0
Adriatic Sea,1997,sept,1,0.1111111111111111,5,1.9315,1.85898,9.2949,5,0,0,0
Adriatic Sea,1998,janv,1,0.1111111111111111,5,1.2197,1.107,5.535,5,0,0,0
Adriatic Sea,1998,févr,5,0.5555555555555556,45,1.2876400000000001,1.1178385974025975,48.6892,45,0,0,0
Adriatic Sea,1998,mars,6,0.6666666666666666,44,1.5949,1.3978642592592592,66.2177,44,0,0,0
Adriatic Sea,1998,juin,9,1,62,2.966466666666667,2.652528115279782,163.5509,62,0,0,0
Adriatic Sea,1998,juil,9,1,84,2.9944555555555556,2.458811584249084,209.2805,84,0,0,0
Adriatic Sea,1998,août,9,1,134,2.9125555555555556,2.1836115777904013,292.3204,132,2,0,0
Adriatic Sea,1999,mai,6,0.6666666666666666,14,3.0402,2.9049194444444444,39.6393,14,0,0,0
Adriatic Sea,1999,juin,9,1,89,3.348388888888889,2.9108453968253967,257.6476,87,0,0,0
Adriatic Sea,1999,sept,9,1,45,1.8326222222222222,1.6849680555555555,82.1874,45,0,0,0
Adriatic Sea,1999,oct,9,1,61,1.8047555555555557,1.6547591066341067,98.5488,60,0,0,0
Adriatic Sea,2000,mai,9,1,145,3.1347111111111112,2.5088084259259262,363.8867,137,0,0,0
Adriatic Sea,2000,juin,6,0.6666666666666666,63,3.2298833333333334,2.7826338383838385,176.9413,63,0,0,0
Adriatic Sea,2000,août,2,0.2222222222222222,12,2.4492000000000003,2.025511428571429,24.3916,12,0,0,0
Adriatic Sea,2000,oct,4,0.4444444444444444,18,1.928775,1.5114216666666667,28.2748,14,4,0,0
Adriatic Sea,2000,nov,9,1,169,1.9586777777777777,1.4464963473818646,245.79,161,0,0,0
Adriatic Sea,2000,déc,9,1,161,1.9997666666666667,1.5029422934050651,246.4745,153,0,0,0
Adriatic Sea,2001,janv,9,1,209,1.6331333333333333,1.343743956919904,287.926,208,1,0,0
Adriatic Sea,2001,févr,9,1,194,1.6149333333333333,1.320685958994709,248.0677,154,38,0,0
Adriatic Sea,2001,mars,9,1,235,2.048722222222222,1.5508907967281624,337.876,206,27,0,0
